system,scale,paper_id,domain,extractive_density,summary_length_words,longdocfactscore
finetuned_70B,70B,2604.12008v1,physics,1.8839285714285714,224,-4.406005859375
finetuned_70B,70B,2604.12094v1,physics,1.3670411985018727,267,-4.586154513888889
finetuned_70B,70B,2604.12198v1,physics,2.3781512605042017,238,-4.881417410714286
finetuned_70B,70B,2604.12699v1,physics,2.6547085201793723,223,-4.099051339285714
finetuned_70B,70B,2604.13176v1,physics,1.6603773584905661,212,-4.288783482142857
finetuned_70B,70B,2604.13649v1,physics,1.727699530516432,213,-4.73486328125
finetuned_70B,70B,2604.13890v1,physics,2.0358744394618835,223,-4.628627232142857
finetuned_70B,70B,2604.14398v1,physics,2.6577777777777776,225,-4.163330078125
finetuned_70B,70B,2604.14772v1,physics,2.0720720720720722,222,-4.019775390625
finetuned_70B,70B,2604.14918v1,physics,1.8523809523809525,210,-4.231770833333333
finetuned_70B,70B,2604.15550v1,physics,2.8520179372197307,223,-4.438232421875
finetuned_70B,70B,2604.15801v1,physics,2.3017241379310347,232,-4.74365234375
finetuned_70B,70B,2604.16065v1,physics,1.64,250,-4.568359375
finetuned_70B,70B,2604.16150v1,physics,2.4125,240,-4.034939236111111
finetuned_70B,70B,2604.16228v2,physics,2.5357142857142856,224,-4.416015625
finetuned_70B,70B,2604.16573v1,physics,2.7512195121951217,205,-3.6495225694444446
finetuned_70B,70B,2604.16633v1,physics,3.3177966101694913,236,-4.346261160714286
finetuned_70B,70B,2604.16874v1,math,2.588,250,-4.014404296875
finetuned_70B,70B,2604.16876v1,math,2.1373390557939915,233,-4.1986328125
finetuned_70B,70B,2604.16924v1,physics,3.4273127753303965,227,-4.460069444444445
finetuned_70B,70B,2604.17146v1,math,1.2212389380530972,226,-5.028738839285714
finetuned_70B,70B,2604.17156v1,cs,3.63768115942029,207,-3.924107142857143
finetuned_70B,70B,2604.17218v1,physics,3.715909090909091,264,-3.536892361111111
finetuned_70B,70B,2604.17236v1,math,1.9210526315789473,228,-5.071614583333333
finetuned_70B,70B,2604.17463v1,physics,1.9015748031496063,254,-4.43505859375
finetuned_70B,70B,2604.17471v1,math,1.8035714285714286,224,-4.848772321428571
finetuned_70B,70B,2604.17549v1,math,3.1631799163179917,239,-4.53369140625
finetuned_70B,70B,2604.17606v1,math,1.8226600985221675,203,-4.46533203125
finetuned_70B,70B,2604.17703v1,math,1.1842105263157894,228,-4.3603515625
finetuned_70B,70B,2604.17723v1,physics,2.2294372294372296,231,-4.150634765625
finetuned_70B,70B,2604.17825v1,physics,2.3495934959349594,246,-4.221354166666667
finetuned_70B,70B,2604.17901v1,math,2.041322314049587,242,-4.1712890625
finetuned_70B,70B,2604.17918v1,math,1.728448275862069,232,-4.319091796875
finetuned_70B,70B,2604.17922v1,math,1.9069767441860466,215,-4.548583984375
finetuned_70B,70B,2604.18074v1,math,1.7534246575342465,219,-4.188337053571429
finetuned_70B,70B,2604.18099v2,math,2.237704918032787,244,-4.428013392857143
finetuned_70B,70B,2604.18127v1,physics,2.8619246861924688,239,-3.859130859375
finetuned_70B,70B,2604.18136v1,physics,1.5476190476190477,210,-4.715277777777778
finetuned_70B,70B,2604.18155v1,physics,2.700440528634361,227,-3.341064453125
finetuned_70B,70B,2604.18342v1,physics,2.5047619047619047,210,-4.097377232142857
finetuned_70B,70B,2604.18472v1,physics,2.310483870967742,248,-4.64375
finetuned_70B,70B,2604.18481v1,math,3.0595238095238093,252,-4.690848214285714
finetuned_70B,70B,2604.18571v1,math,1.6609442060085837,233,-5.125868055555555
finetuned_70B,70B,2604.18650v1,math,1.2918287937743191,257,-4.4279296875
finetuned_70B,70B,2604.18755v1,physics,2.1693548387096775,248,-4.477294921875
finetuned_70B,70B,2604.18824v1,math,2.4823529411764707,255,-4.565518465909091
finetuned_70B,70B,2604.18826v1,math,2.7109004739336493,211,-4.362444196428571
finetuned_70B,70B,2604.18931v1,math,2.8728070175438596,228,-3.8033854166666665
finetuned_70B,70B,2604.19020v1,math,1.6979591836734693,245,-4.69921875
finetuned_70B,70B,2604.19050v1,physics,1.863849765258216,213,-4.152901785714286
finetuned_70B,70B,2604.19101v1,physics,1.9256198347107438,242,-4.671875
finetuned_70B,70B,2604.19138v1,cs,2.327731092436975,238,-4.1875
finetuned_70B,70B,2604.19165v1,math,2.3390557939914163,233,-4.228271484375
finetuned_70B,70B,2604.19184v1,math,1.6707818930041152,243,-5.28125
finetuned_70B,70B,2604.19308v1,math,2.2987012987012987,231,-4.547433035714286
finetuned_70B,70B,2604.19433v1,physics,1.8632478632478633,234,-4.083984375
finetuned_70B,70B,2604.19484v1,cs,2.4656488549618323,262,-4.95703125
finetuned_70B,70B,2604.19575v1,math,2.502262443438914,221,-4.296595982142857
finetuned_70B,70B,2604.19630v1,math,1.23963133640553,217,-5.37646484375
finetuned_70B,70B,2604.19700v1,math,3.4448818897637796,254,-3.8579545454545454
finetuned_70B,70B,2604.19733v1,math,3.007936507936508,252,-4.743359375
finetuned_70B,70B,2604.19875v1,physics,2.6682926829268294,205,-4.13671875
finetuned_70B,70B,2604.19938v1,math,1.5210084033613445,238,-4.422309027777778
finetuned_70B,70B,2604.19944v1,physics,1.7105263157894737,228,-4.670166015625
finetuned_70B,70B,2604.20007v1,physics,1.8721461187214612,219,-4.535993303571429
finetuned_70B,70B,2604.20009v1,math,2.647286821705426,258,-4.139787946428571
finetuned_70B,70B,2604.20036v1,physics,3.2580645161290325,217,-4.53515625
finetuned_70B,70B,2604.20044v2,math,3.0242914979757085,247,-5.002130681818182
finetuned_70B,70B,2604.20107v1,math,2.2152466367713006,223,-4.590122767857143
finetuned_70B,70B,2604.20257v1,math,3.51440329218107,243,-3.781005859375
finetuned_70B,70B,2604.20284v1,physics,2.641025641025641,234,-4.615234375
finetuned_70B,70B,2604.20422v1,math,2.286324786324786,234,-4.718191964285714
finetuned_70B,70B,2604.20463v1,physics,1.9047619047619047,252,-4.2466796875
finetuned_70B,70B,2604.20484v1,physics,1.8035714285714286,224,-4.4533203125
finetuned_70B,70B,2604.20589v1,math,2.410041841004184,239,-4.53759765625
finetuned_70B,70B,2604.20633v1,math,3.733067729083665,251,-4.114501953125
finetuned_70B,70B,2604.20682v1,cs,2.034934497816594,229,-4.634033203125
finetuned_70B,70B,2604.20744v1,cs,2.3160377358490565,212,-4.7060546875
finetuned_70B,70B,2604.20745v1,cs,4.518518518518518,216,-4.224888392857143
finetuned_70B,70B,2604.20746v1,cs,2.8983050847457625,236,-3.8977864583333335
